,UNIT_NAME,STAT_NAME,ITEM_CODE1,STAT_CODE,ITEM_CODE2,ITEM_CODE3,ITEM_NAME1,ITEM_NAME2,DATA_VALUE,ITEM_NAME3,TIME
51,연%,2.6.한국은행 기준금리 및 여수신금리,0101000,098Y001, , ,한국은행 기준금리, ,1.75, ,201904
52,연%,2.6.한국은행 기준금리 및 여수신금리,0101000,098Y001, , ,한국은행 기준금리, ,1.75, ,201905
53,연%,2.6.한국은행 기준금리 및 여수신금리,0101000,098Y001, , ,한국은행 기준금리, ,1.75, ,201906
54,연%,2.6.한국은행 기준금리 및 여수신금리,0101000,098Y001, , ,한국은행 기준금리, ,1.5, ,201907
55,연%,2.6.한국은행 기준금리 및 여수신금리,0101000,098Y001, , ,한국은행 기준금리, ,1.5, ,201908
56,연%,2.6.한국은행 기준금리 및 여수신금리,0101000,098Y001, , ,한국은행 기준금리, ,1.5, ,201909
57,연%,2.6.한국은행 기준금리 및 여수신금리,0101000,098Y001, , ,한국은행 기준금리, ,1.25, ,201910
58,연%,2.6.한국은행 기준금리 및 여수신금리,0101000,098Y001, , ,한국은행 기준금리, ,1.25, ,201911
59,연%,2.6.한국은행 기준금리 및 여수신금리,0101000,098Y001, , ,한국은행 기준금리, ,1.25, ,201912
60,연%,2.6.한국은행 기준금리 및 여수신금리,0102000,098Y001, , ,정부대출금금리, ,2.16, ,201501
61,연%,2.6.한국은행 기준금리 및 여수신금리,0102000,098Y001, , ,정부대출금금리, ,2.16, ,201502
62,연%,2.6.한국은행 기준금리 및 여수신금리,0102000,098Y001, , ,정부대출금금리, ,2.16, ,201503
63,연%,2.6.한국은행 기준금리 및 여수신금리,0102000,098Y001, , ,정부대출금금리, ,1.932, ,201504
64,연%,2.6.한국은행 기준금리 및 여수신금리,0102000,098Y001, , ,정부대출금금리, ,1.932, ,201505
65,연%,2.6.한국은행 기준금리 및 여수신금리,0102000,098Y001, , ,정부대출금금리, ,1.932, ,201506
66,연%,2.6.한국은행 기준금리 및 여수신금리,0102000,098Y001, , ,정부대출금금리, ,1.704, ,201507
67,연%,2.6.한국은행 기준금리 및 여수신금리,0102000,098Y001, , ,정부대출금금리, ,1.704, ,201508
68,연%,2.6.한국은행 기준금리 및 여수신금리,0102000,098Y001, , ,정부대출금금리, ,1.704, ,201509
69,연%,2.6.한국은행 기준금리 및 여수신금리,0102000,098Y001, , ,정부대출금금리, ,1.627, ,201510
70,연%,2.6.한국은행 기준금리 및 여수신금리,0102000,098Y001, , ,정부대출금금리, ,1.627, ,201511
71,연%,2.6.한국은행 기준금리 및 여수신금리,0102000,098Y001, , ,정부대출금금리, ,1.627, ,201512
72,연%,2.6.한국은행 기준금리 및 여수신금리,0102000,098Y001, , ,정부대출금금리, ,1.664, ,201601
73,연%,2.6.한국은행 기준금리 및 여수신금리,0102000,098Y001, , ,정부대출금금리, ,1.664, ,201602
74,연%,2.6.한국은행 기준금리 및 여수신금리,0102000,098Y001, , ,정부대출금금리, ,1.664, ,201603
75,연%,2.6.한국은행 기준금리 및 여수신금리,0102000,098Y001, , ,정부대출금금리, ,1.602, ,201604
76,연%,2.6.한국은행 기준금리 및 여수신금리,0102000,098Y001, , ,정부대출금금리, ,1.602, ,201605
77,연%,2.6.한국은행 기준금리 및 여수신금리,0102000,098Y001, , ,정부대출금금리, ,1.602, ,201606
78,연%,2.6.한국은행 기준금리 및 여수신금리,0102000,098Y001, , ,정부대출금금리, ,1.453, ,201607
79,연%,2.6.한국은행 기준금리 및 여수신금리,0102000,098Y001, , ,정부대출금금리, ,1.453, ,201608
80,연%,2.6.한국은행 기준금리 및 여수신금리,0102000,098Y001, , ,정부대출금금리, ,1.453, ,201609
81,연%,2.6.한국은행 기준금리 및 여수신금리,0102000,098Y001, , ,정부대출금금리, ,1.402, ,201610
82,연%,2.6.한국은행 기준금리 및 여수신금리,0102000,098Y001, , ,정부대출금금리, ,1.402, ,201611
83,연%,2.6.한국은행 기준금리 및 여수신금리,0102000,098Y001, , ,정부대출금금리, ,1.402, ,201612
84,연%,2.6.한국은행 기준금리 및 여수신금리,0102000,098Y001, , ,정부대출금금리, ,1.522, ,201701
85,연%,2.6.한국은행 기준금리 및 여수신금리,0102000,098Y001, , ,정부대출금금리, ,1.522, ,201702
86,연%,2.6.한국은행 기준금리 및 여수신금리,0102000,098Y001, , ,정부대출금금리, ,1.522, ,201703
87,연%,2.6.한국은행 기준금리 및 여수신금리,0102000,098Y001, , ,정부대출금금리, ,1.44, ,201704
88,연%,2.6.한국은행 기준금리 및 여수신금리,0102000,098Y001, , ,정부대출금금리, ,1.44, ,201705
89,연%,2.6.한국은행 기준금리 및 여수신금리,0102000,098Y001, , ,정부대출금금리, ,1.44, ,201706
90,연%,2.6.한국은행 기준금리 및 여수신금리,0102000,098Y001, , ,정부대출금금리, ,1.386, ,201707
91,연%,2.6.한국은행 기준금리 및 여수신금리,0102000,098Y001, , ,정부대출금금리, ,1.386, ,201708
92,연%,2.6.한국은행 기준금리 및 여수신금리,0102000,098Y001, , ,정부대출금금리, ,1.386, ,201709
93,연%,2.6.한국은행 기준금리 및 여수신금리,0102000,098Y001, , ,정부대출금금리, ,1.362, ,201710
94,연%,2.6.한국은행 기준금리 및 여수신금리,0102000,098Y001, , ,정부대출금금리, ,1.362, ,201711
95,연%,2.6.한국은행 기준금리 및 여수신금리,0102000,098Y001, , ,정부대출금금리, ,1.362, ,201712
96,연%,2.6.한국은행 기준금리 및 여수신금리,0102000,098Y001, , ,정부대출금금리, ,1.638, ,201801
97,연%,2.6.한국은행 기준금리 및 여수신금리,0102000,098Y001, , ,정부대출금금리, ,1.638, ,201802
98,연%,2.6.한국은행 기준금리 및 여수신금리,0102000,098Y001, , ,정부대출금금리, ,1.638, ,201803
99,연%,2.6.한국은행 기준금리 및 여수신금리,0102000,098Y001, , ,정부대출금금리, ,1.651, ,201804
100,연%,2.6.한국은행 기준금리 및 여수신금리,0102000,098Y001, , ,정부대출금금리, ,1.651, ,201805
101,연%,2.6.한국은행 기준금리 및 여수신금리,0102000,098Y001, , ,정부대출금금리, ,1.651, ,201806
102,연%,2.6.한국은행 기준금리 및 여수신금리,0102000,098Y001, , ,정부대출금금리, ,1.652, ,201807
103,연%,2.6.한국은행 기준금리 및 여수신금리,0102000,098Y001, , ,정부대출금금리, ,1.652, ,201808
104,연%,2.6.한국은행 기준금리 및 여수신금리,0102000,098Y001, , ,정부대출금금리, ,1.652, ,201809
105,연%,2.6.한국은행 기준금리 및 여수신금리,0102000,098Y001, , ,정부대출금금리, ,1.685, ,201810
106,연%,2.6.한국은행 기준금리 및 여수신금리,0102000,098Y001, , ,정부대출금금리, ,1.685, ,201811
107,연%,2.6.한국은행 기준금리 및 여수신금리,0102000,098Y001, , ,정부대출금금리, ,1.685, ,201812
108,연%,2.6.한국은행 기준금리 및 여수신금리,0102000,098Y001, , ,정부대출금금리, ,1.851, ,201901
109,연%,2.6.한국은행 기준금리 및 여수신금리,0102000,098Y001, , ,정부대출금금리, ,1.851, ,201902
110,연%,2.6.한국은행 기준금리 및 여수신금리,0102000,098Y001, , ,정부대출금금리, ,1.851, ,201903
111,연%,2.6.한국은행 기준금리 및 여수신금리,0102000,098Y001, , ,정부대출금금리, ,1.867, ,201904
112,연%,2.6.한국은행 기준금리 및 여수신금리,0102000,098Y001, , ,정부대출금금리, ,1.867, ,201905
113,연%,2.6.한국은행 기준금리 및 여수신금리,0102000,098Y001, , ,정부대출금금리, ,1.867, ,201906
114,연%,2.6.한국은행 기준금리 및 여수신금리,0102000,098Y001, , ,정부대출금금리, ,1.696, ,201907
115,연%,2.6.한국은행 기준금리 및 여수신금리,0102000,098Y001, , ,정부대출금금리, ,1.696, ,201908
116,연%,2.6.한국은행 기준금리 및 여수신금리,0102000,098Y001, , ,정부대출금금리, ,1.696, ,201909
117,연%,2.6.한국은행 기준금리 및 여수신금리,0102000,098Y001, , ,정부대출금금리, ,1.393, ,201910
118,연%,2.6.한국은행 기준금리 및 여수신금리,0102000,098Y001, , ,정부대출금금리, ,1.393, ,201911
119,연%,2.6.한국은행 기준금리 및 여수신금리,0102000,098Y001, , ,정부대출금금리, ,1.393, ,201912
120,연%,2.6.한국은행 기준금리 및 여수신금리,0107000,098Y001, , ,무역금융지원 프로그램대출금리, ,1, ,201501
121,연%,2.6.한국은행 기준금리 및 여수신금리,0107000,098Y001, , ,무역금융지원 프로그램대출금리, ,1, ,201502
122,연%,2.6.한국은행 기준금리 및 여수신금리,0107000,098Y001, , ,무역금융지원 프로그램대출금리, ,1, ,201503
123,연%,2.6.한국은행 기준금리 및 여수신금리,0107000,098Y001, , ,무역금융지원 프로그램대출금리, ,0.75, ,201504
124,연%,2.6.한국은행 기준금리 및 여수신금리,0107000,098Y001, , ,무역금융지원 프로그램대출금리, ,0.75, ,201505
125,연%,2.6.한국은행 기준금리 및 여수신금리,0107000,098Y001, , ,무역금융지원 프로그램대출금리, ,0.75, ,201506
126,연%,2.6.한국은행 기준금리 및 여수신금리,0107000,098Y001, , ,무역금융지원 프로그램대출금리, ,0.75, ,201507
127,연%,2.6.한국은행 기준금리 및 여수신금리,0107000,098Y001, , ,무역금융지원 프로그램대출금리, ,0.75, ,201508
128,연%,2.6.한국은행 기준금리 및 여수신금리,0107000,098Y001, , ,무역금융지원 프로그램대출금리, ,0.75, ,201509
